No errors
No warnings
531 ms
data source=metars
4855 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KY31 021835Z AUTO 26005KT 10SM CLR 05/M12 A3001 RMK AO2 T00521120,KY31,2018-04-02T18:35:00Z,44.25,-84.18,5.2,-12.0,260,5,,10.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,269.0
KDYT 021835Z AUTO 03006KT 10SM CLR M02/M11 A2997 RMK AO2,KDYT,2018-04-02T18:35:00Z,46.72,-92.03,-2.0,-11.0,30,6,,10.0,29.970472,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,186.0
KDYA 021835Z AUTO 22005KT 10SM 24/13 A3000 RMK AO2 T02390134,KDYA,2018-04-02T18:35:00Z,32.47,-87.95,23.9,13.4,220,5,,10.0,30.0,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,34.0
KROS 021835Z AUTO 20008KT 7SM SCT019 BKN027 OVC041 00/M07 A2994 RMK AO2 T10011067,KROS,2018-04-02T18:35:00Z,45.7,-92.95,-0.1,-6.7,200,8,,7.0,29.940945,,,TRUE,TRUE,,,,,,,SCT,1900,BKN,2700,OVC,4100,,,MVFR,,,,,,,,,,,,METAR,281.0
KRNP 021835Z AUTO 20005KT 10SM SCT050 05/M08 A3007 RMK AO2 T00511084,KRNP,2018-04-02T18:35:00Z,43.0,-84.13,5.1,-8.4,200,5,,10.0,30.070866,,,TRUE,TRUE,,,,,,,SCT,5000,,,,,,,VFR,,,,,,,,,,,,METAR,224.0
KCKM 021835Z AUTO 14004KT 7SM BKN011 OVC020 14/12 A2998 RMK A01,KCKM,2018-04-02T18:35:00Z,34.3,-90.52,14.0,12.0,140,4,,7.0,29.97933,,,TRUE,TRUE,,,,,,,BKN,1100,OVC,2000,,,,,MVFR,,,,,,,,,,,,METAR,53.0
K6B9 021835Z AUTO 24007KT 170V260 10SM CLR 05/M07 A3007 RMK AO2,K6B9,2018-04-02T18:35:00Z,42.92,-76.43,5.0,-7.0,240,7,,10.0,30.070866,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,316.0
K33V 021835Z AUTO 24022G36KT 10SM CLR 12/M09 A2961 RMK AO1,K33V,2018-04-02T18:35:00Z,40.75,-106.28,12.0,-9.0,240,22,36,10.0,29.610237,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2484.0
K28J 021835Z AUTO 00000KT 10SM BKN050 BKN070 BKN085 29/16 A3003 RMK AO2,K28J,2018-04-02T18:35:00Z,29.65,-81.58,29.0,16.0,0,0,,10.0,30.029528,,,TRUE,TRUE,,,,,,,BKN,5000,BKN,7000,BKN,8500,,,VFR,,,,,,,,,,,,METAR,15.0
K04W 021835Z AUTO 22005KT 10SM SCT038 BKN046 OVC055 00/M07 A2993 RMK AO2,K04W,2018-04-02T18:35:00Z,46.02,-92.9,0.0,-7.0,220,5,,10.0,29.929134,,,TRUE,TRUE,,,,,,,SCT,3800,BKN,4600,OVC,5500,,,VFR,,,,,,,,,,,,METAR,311.0
KBWW 021835Z AUTO 06018KT 2 1/2SM BR FEW009 BKN024 BKN028 M06/M08 A2959 RMK AO2,KBWW,2018-04-02T18:35:00Z,46.17,-103.3,-6.0,-8.0,60,18,,2.5,29.589567,,,TRUE,TRUE,,,,,,BR,FEW,900,BKN,2400,BKN,2800,,,IFR,,,,,,,,,,,,METAR,910.0
KANK 021835Z AUTO 26016G33KT 240V300 10SM CLR 17/M14 A2974 RMK AO1 T01721141,KANK,2018-04-02T18:35:00Z,38.53,-106.05,17.2,-14.1,260,16,33,10.0,29.740158,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,2293.0
K2V5 021835Z AUTO 12010G15KT 10SM CLR 16/M02 A2947 RMK AO2,K2V5,2018-04-02T18:35:00Z,40.1,-102.25,16.0,-2.0,120,10,15,10.0,29.471457,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,1118.0
K2J9 021835Z AUTO 26009KT 10SM FEW042 FEW050 26/15 A3004 RMK AO2,K2J9,2018-04-02T18:35:00Z,30.6,-84.55,26.0,15.0,260,9,,10.0,30.041338,,,TRUE,TRUE,,,,,,,FEW,4200,FEW,5000,,,,,VFR,,,,,,,,,,,,SPECI,69.0
K1P1 021835Z AUTO 28009KT 10SM CLR 06/M11 A3004 RMK AO2 T00591109,K1P1,2018-04-02T18:35:00Z,43.78,-71.75,5.9,-10.9,280,9,,10.0,30.041338,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,154.0
KCOD 021835Z AUTO 32009KT 1/2SM -SN FG OVC005 00/M02 A2952 RMK AO2 CIG 003V009 P0000 FZRANO,KCOD,2018-04-02T18:35:00Z,44.52,-109.02,0.0,-2.0,320,9,,0.5,29.518702,,,TRUE,TRUE,,,,TRUE,,-SN FG,OVC,500,,,,,,,LIFR,,,,,,0.005,,,,,,SPECI,1553.0
KCLW 021835Z AUTO 20007KT 10SM SCT032 26/18 A3003 RMK AO2,KCLW,2018-04-02T18:35:00Z,27.98,-82.75,26.0,18.0,200,7,,10.0,30.029528,,,TRUE,TRUE,,,,,,,SCT,3200,,,,,,,VFR,,,,,,,,,,,,METAR,22.0
KCFS 021835Z AUTO 22007G15KT 10SM CLR 06/M10 A3005 RMK AO2 T00621102,KCFS,2018-04-02T18:35:00Z,43.47,-83.45,6.2,-10.2,220,7,15,10.0,30.050198,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,214.0
KCCU 021835Z AUTO 25033G52KT 130V290 1/2SM -SN VV005 03/M10 A2978 RMK AO2,KCCU,2018-04-02T18:35:00Z,39.48,-106.15,3.0,-10.0,250,33,52,0.5,29.778543,,,TRUE,TRUE,,,,,,-SN,OVX,0,,,,,,,LIFR,,,,,,,,,,,500,METAR,3680.0
KCBG 021835Z AUTO 17009KT 5SM -SN SCT035 01/M06 A2994 RMK AO2,KCBG,2018-04-02T18:35:00Z,45.57,-93.27,1.0,-6.0,170,9,,5.0,29.940945,,,TRUE,TRUE,,,,,,-SN,SCT,3500,,,,,,,MVFR,,,,,,,,,,,,METAR,287.0
KCBF 021835Z AUTO 15016KT 10SM OVC017 M00/M03 A2979 RMK AO2,KCBF,2018-04-02T18:35:00Z,41.27,-95.77,0.0,-3.0,150,16,,10.0,29.790354,,,TRUE,TRUE,,,,,,,OVC,1700,,,,,,,MVFR,,,,,,,,,,,,METAR,382.0
KCAD 021835Z AUTO 23006KT 10SM CLR 01/M10 A2999 RMK AO2 T00181099,KCAD,2018-04-02T18:35:00Z,44.27,-85.42,1.8,-9.9,230,6,,10.0,29.991142,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,398.0
KBKN 021835Z AUTO 15011KT 3SM BR OVC005 02/02 A2983 RMK AO2,KBKN,2018-04-02T18:35:00Z,36.75,-97.35,2.0,2.0,150,11,,3.0,29.828741,,,TRUE,TRUE,,,,,,BR,OVC,500,,,,,,,IFR,,,,,,,,,,,,METAR,314.0
KBBB 021835Z AUTO 17009G16KT 3/4SM -SN M01/M03 A2986 RMK AO2 P0001,KBBB,2018-04-02T18:35:00Z,45.32,-95.65,-1.0,-3.0,170,9,16,0.75,29.861221,,,TRUE,TRUE,,,,,,-SN,,,,,,,,,,,,,,,0.01,,,,,,METAR,317.0
KBAX 021835Z AUTO 20010G16KT 10SM CLR 05/M12 A3006 RMK AO2 T00531121,KBAX,2018-04-02T18:35:00Z,43.78,-82.98,5.3,-12.1,200,10,16,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,234.0
KAUM 021835Z AUTO 15009G15KT CLR 01/M07 A2989 RMK AO2 PWINO,KAUM,2018-04-02T18:35:00Z,43.67,-92.92,1.0,-7.0,150,9,15,,29.890747,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,,,,,,,,,,,,,METAR,375.0
KARW 021835Z AUTO 21006KT 7SM CLR 26/17 A3001 RMK AO2,KARW,2018-04-02T18:35:00Z,32.42,-80.63,26.0,17.0,210,6,,7.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,4.0
KAMN 021835Z AUTO 20005G16KT 10SM CLR 05/M09 A3006 RMK AO2 T00461087,KAMN,2018-04-02T18:35:00Z,43.32,-84.68,4.6,-8.7,200,5,16,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,230.0
KACQ 021835Z AUTO 15013G19KT 10SM OVC045 00/M07 A2990 RMK AO2,KACQ,2018-04-02T18:35:00Z,44.07,-93.55,0.0,-7.0,150,13,19,10.0,29.899607,,,TRUE,TRUE,,,,,,,OVC,4500,,,,,,,VFR,,,,,,,,,,,,METAR,343.0
KACB 021835Z AUTO 26007G14KT 200V280 10SM CLR 02/M13 A3004 RMK AO2 T00231127,KACB,2018-04-02T18:35:00Z,44.98,-85.2,2.3,-12.7,260,7,14,10.0,30.041338,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,190.0
K6L4 021835Z AUTO 00000KT 10SM OVC023 07/06 A3003 RMK AO2,K6L4,2018-04-02T18:35:00Z,37.85,-81.92,7.0,6.0,0,0,,10.0,30.029528,,,TRUE,TRUE,,,,,,,OVC,2300,,,,,,,MVFR,,,,,,,,,,,,METAR,508.0
KCOQ 021835Z AUTO 26003KT 10SM SCT065 M01/M12 A2991 RMK AO2,KCOQ,2018-04-02T18:35:00Z,46.7,-92.5,-1.0,-12.0,260,3,,10.0,29.911417,,,TRUE,TRUE,,,,,,,SCT,6500,,,,,,,VFR,,,,,,,,,,,,METAR,390.0
KMZH 021835Z AUTO 00000KT 10SM SCT028 BKN040 OVC050 00/M10 A2991 RMK AO2,KMZH,2018-04-02T18:35:00Z,46.42,-92.8,0.0,-10.0,0,0,,10.0,29.911417,,,TRUE,TRUE,,,,,,,SCT,2800,BKN,4000,OVC,5000,,,VFR,,,,,,,,,,,,METAR,328.0
KMWM 021835Z AUTO 14014KT 10SM 00/M09 A2979 RMK AO2,KMWM,2018-04-02T18:35:00Z,43.9,-95.1,0.0,-9.0,140,14,,10.0,29.790354,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,430.0
KMJQ 021835Z AUTO 15012G18KT 10SM BKN023 OVC047 00/M05 A2980 RMK AO2,KMJQ,2018-04-02T18:35:00Z,43.63,-94.97,0.0,-5.0,150,12,18,10.0,29.799213,,,TRUE,TRUE,,,,,,,BKN,2300,OVC,4700,,,,,MVFR,,,,,,,,,,,,METAR,441.0
KMGN 021835Z AUTO 27008G16KT 10SM CLR 00/M10 A3003 RMK AO2 T00081098,KMGN,2018-04-02T18:35:00Z,45.43,-84.92,0.8,-9.8,270,8,16,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,209.0
KMDS 021835Z AUTO 15016G25KT 10SM SCT024 OVC039 00/M01 A2968 RMK AO2,KMDS,2018-04-02T18:35:00Z,44.02,-97.08,0.0,-1.0,150,16,25,10.0,29.681103,,,TRUE,TRUE,,,,,,,SCT,2400,OVC,3900,,,,,VFR,,,,,,,,,,,,METAR,524.0
KMAO 021835Z AUTO 24007G15KT 7SM CLR 27/10 A2997 RMK AO2,KMAO,2018-04-02T18:35:00Z,34.18,-79.33,27.0,10.0,240,7,15,7.0,29.970472,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,28.0
KLXL 021835Z AUTO 11004KT 3/4SM -SN OVC005 M02/M05 A2991 RMK AO2 P0001,KLXL,2018-04-02T18:35:00Z,45.95,-94.33,-2.0,-5.0,110,4,,0.75,29.911417,,,TRUE,TRUE,,,,,,-SN,OVC,500,,,,,,,LIFR,,,,,,0.01,,,,,,METAR,342.0
KJYG 021835Z AUTO 15013G17KT 10SM OVC033 M01/M05 A2988 RMK AO2,KJYG,2018-04-02T18:35:00Z,43.98,-94.55,-1.0,-5.0,150,13,17,10.0,29.878937,,,TRUE,TRUE,,,,,,,OVC,3300,,,,,,,VFR,,,,,,,,,,,,METAR,325.0
CYNM 021835Z AUTO 25010G22KT 220V280 9SM BKN033 BKN042 BKN048 OVC060 M03/M10 A2979 RMK ICG SLP112,CYNM,2018-04-02T18:35:00Z,49.77,-77.82,-3.0,-10.0,250,10,22,9.0,29.790354,1011.2,,TRUE,,,,,,,,BKN,3300,BKN,4200,BKN,4800,OVC,6000,VFR,,,,,,,,,,,,SPECI,281.0
KRGK 021835Z AUTO 17007KT 3/4SM -SN OVC007 M01/M05 A2995 RMK AO2,KRGK,2018-04-02T18:35:00Z,44.58,-92.48,-1.0,-5.0,170,7,,0.75,29.949802,,,TRUE,TRUE,,,,,,-SN,OVC,700,,,,,,,LIFR,,,,,,,,,,,,METAR,239.0
KPQN 021835Z AUTO 16016G19KT 10SM BKN020 OVC038 M01/M04 A2971 RMK AO2,KPQN,2018-04-02T18:35:00Z,43.97,-96.32,-1.0,-4.0,160,16,19,10.0,29.71063,,,TRUE,TRUE,,,,,,,BKN,2000,OVC,3800,,,,,MVFR,,,,,,,,,,,,METAR,529.0
KPOV 021835Z AUTO 20003KT 10SM SCT039 05/M05 A3010 RMK AO2 T00481047,KPOV,2018-04-02T18:35:00Z,41.22,-81.25,4.8,-4.7,200,3,,10.0,30.100393,,,TRUE,TRUE,,,,,,,SCT,3900,,,,,,,VFR,,,,,,,,,,,,METAR,365.0
KPLR 021835Z AUTO 20008G14KT 10SM CLR 25/11 A2999 RMK A01,KPLR,2018-04-02T18:35:00Z,33.57,-86.25,25.0,11.0,200,8,14,10.0,29.991142,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,148.0
KPHN 021835Z AUTO 20007KT 10SM CLR 04/M09 A3010 RMK AO2,KPHN,2018-04-02T18:35:00Z,42.92,-82.52,4.0,-9.0,200,7,,10.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,198.0
KOZW 021835Z AUTO 21004KT 10SM CLR 05/M08 A3006 RMK AO2 T00471081,KOZW,2018-04-02T18:35:00Z,42.62,-83.97,4.7,-8.1,210,4,,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,293.0
KOSC 021835Z AUTO 19012G18KT 10SM CLR 04/M08 A3003 RMK AO2 T00441079,KOSC,2018-04-02T18:35:00Z,44.45,-83.4,4.4,-7.9,190,12,18,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,193.0
CYZP 021835Z AUTO /////KT 9SM 04/01 A2992 RMK WND MISG CLD MISG SLP133,CYZP,2018-04-02T18:35:00Z,53.25,-131.82,4.0,1.0,,,,9.0,29.920275,1013.3,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,6.0
KGDB 021835Z AUTO 10010G16KT 5SM HZ SCT044 OVC065 M01/M04 A2984 RMK AO2 T10081037,KGDB,2018-04-02T18:35:00Z,44.75,-95.55,-0.8,-3.7,100,10,16,5.0,29.840551,,,TRUE,TRUE,,,,,,HZ,SCT,4400,OVC,6500,,,,,MVFR,,,,,,,,,,,,METAR,319.0
KFMH 021835Z AUTO 04007KT 10SM OVC013 02/00 A3009 RMK AO2,KFMH,2018-04-02T18:35:00Z,41.63,-70.52,2.0,0.0,40,7,,10.0,30.088583,,,TRUE,TRUE,,,,,,,OVC,1300,,,,,,,MVFR,,,,,,,,,,,,METAR,40.0
KFKS 021835Z AUTO 26008G15KT 220V280 10SM CLR 02/M08 A3006 RMK AO2 T00161085,KFKS,2018-04-02T18:35:00Z,44.63,-86.2,1.6,-8.5,260,8,15,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,193.0
KFKA 021835Z AUTO 14015G18KT 10SM SCT100 BKN120 01/M08 A2991 RMK AO2 T00101085,KFKA,2018-04-02T18:35:00Z,43.68,-92.17,1.0,-8.5,140,15,18,10.0,29.911417,,,TRUE,TRUE,,,,,,,SCT,10000,BKN,12000,,,,,VFR,,,,,,,,,,,,METAR,389.0
KFGN 021835Z AUTO 36009KT 10SM CLR M12/M23 A3002 RMK AO2,KFGN,2018-04-02T18:35:00Z,49.32,-94.9,-12.0,-23.0,360,9,,10.0,30.02067,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,328.0
KFFM 021835Z AUTO 08011KT 1 1/2SM -SN VV007 M03/M05 A2984 RMK AO2,KFFM,2018-04-02T18:35:00Z,46.28,-96.15,-3.0,-5.0,80,11,,1.5,29.840551,,,TRUE,TRUE,,,,,,-SN,OVX,0,,,,,,,LIFR,,,,,,,,,,,700,METAR,361.0
KFFL 021835Z AUTO 15019G26KT 10SM CLR 03/M06 A2993 RMK AO2 PWINO,KFFL,2018-04-02T18:35:00Z,41.03,-91.97,3.0,-6.0,150,19,26,10.0,29.929134,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,244.0
KERY 021835Z AUTO 28010G14KT 10SM OVC100 00/M13 A2998 RMK AO2 T00001132,KERY,2018-04-02T18:35:00Z,46.3,-85.45,0.0,-13.2,280,10,14,10.0,29.97933,,,TRUE,TRUE,,,,,,,OVC,10000,,,,,,,VFR,,,,,,,,,,,,METAR,265.0
KHAF 021835Z AUTO 33013KT 6SM HZ OVC012 13/10 A2993 RMK AO2,KHAF,2018-04-02T18:35:00Z,37.52,-122.5,13.0,10.0,330,13,,6.0,29.929134,,,TRUE,TRUE,,,,,,HZ,OVC,1200,,,,,,,MVFR,,,,,,,,,,,,METAR,21.0
KISQ 021835Z AUTO 18012G18KT 10SM CLR M01/M08 A3001 RMK AO2 T10091085,KISQ,2018-04-02T18:35:00Z,45.97,-86.17,-0.9,-8.5,180,12,18,10.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,209.0
KIKW 021835Z AUTO 20005KT 10SM CLR 05/M07 A3005 RMK AO2 T00491074,KIKW,2018-04-02T18:35:00Z,43.67,-84.27,4.9,-7.4,200,5,,10.0,30.050198,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,194.0
KIKV 021835Z AUTO 17012G23KT 10SM FEW036 SCT045 04/M05 A2989 RMK AO2,KIKV,2018-04-02T18:35:00Z,41.68,-93.57,4.0,-5.0,170,12,23,10.0,29.890747,,,TRUE,TRUE,,,,,,,FEW,3600,SCT,4500,,,,,VFR,,,,,,,,,,,,METAR,275.0
KHYX 021835Z AUTO 21008G15KT 10SM CLR 05/M09 A3006 RMK AO2,KHYX,2018-04-02T18:35:00Z,43.43,-83.87,5.0,-9.0,210,8,15,10.0,30.059055,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,183.0
KJKJ 021835Z AUTO 07013KT 1 1/2SM -RA OVC003 M04/M06 A2988 RMK AO2,KJKJ,2018-04-02T18:35:00Z,46.83,-96.67,-4.0,-6.0,70,13,,1.5,29.878937,,,TRUE,TRUE,,,,,,-RA,OVC,300,,,,,,,LIFR,,,,,,,,,,,,METAR,280.0
KDXX 021835Z AUTO 12015KT 10SM UP BKN010 BKN014 OVC060 M01/M03 A2981 RMK AO2,KDXX,2018-04-02T18:35:00Z,44.98,-96.18,-1.0,-3.0,120,15,,10.0,29.811024,,,TRUE,TRUE,,,,,,UP,BKN,1000,BKN,1400,OVC,6000,,,MVFR,,,,,,,,,,,,METAR,330.0
KDRM 021835Z AUTO 25008G15KT 220V280 10SM CLR 00/M09 A3000 RMK AO2 T00031090,KDRM,2018-04-02T18:35:00Z,46.0,-83.75,0.3,-9.0,250,8,15,10.0,30.0,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KDNS 021835Z AUTO 17016G24KT 10SM OVC023 02/M04 A2980 RMK AO2,KDNS,2018-04-02T18:35:00Z,41.97,-95.37,2.0,-4.0,170,16,24,10.0,29.799213,,,TRUE,TRUE,,,,,,,OVC,2300,,,,,,,MVFR,,,,,,,,,,,,METAR,388.0
KDLZ 021835Z AUTO 05004KT 10SM BKN028 05/M01 A3010 RMK AO2,KDLZ,2018-04-02T18:35:00Z,40.28,-83.12,5.0,-1.0,50,4,,10.0,30.100393,,,TRUE,TRUE,,,,,,,BKN,2800,,,,,,,MVFR,,,,,,,,,,,,METAR,289.0
K20U 021835Z AUTO 10015KT 10SM CLR M04/M08 A2977 RMK AO2,K20U,2018-04-02T18:35:00Z,46.93,-103.98,-4.0,-8.0,100,15,,10.0,29.769686,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,840.0
KZPH 021835Z AUTO 17005KT 10SM SCT045 SCT060 SCT120 30/18 A3004 RMK AO2 T02960175,KZPH,2018-04-02T18:35:00Z,28.23,-82.15,29.6,17.5,170,5,,10.0,30.041338,,,TRUE,TRUE,,,,,,,SCT,4500,SCT,6000,SCT,12000,,,VFR,,,,,,,,,,,,SPECI,26.0
KMCJ 021835Z AUTO 14010KT 100V200 9SM FEW034 FEW046 29/18 A2987 RMK A01,KMCJ,2018-04-02T18:35:00Z,29.72,-95.4,29.0,18.0,140,10,,9.0,29.870079,,,TRUE,TRUE,,,,,,,FEW,3400,FEW,4600,,,,,VFR,,,,,,,,,,,,SPECI,69.0
KLUX 021835Z AUTO 27008G18KT 10SM CLR 26/05 A2996 RMK AO2,KLUX,2018-04-02T18:35:00Z,34.5,-81.95,26.0,5.0,270,8,18,10.0,29.958662,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,213.0
KDCM 021835Z AUTO 22004KT 7SM CLR 27/01 A2996 RMK AO2,KDCM,2018-04-02T18:35:00Z,34.78,-81.2,27.0,1.0,220,4,,7.0,29.958662,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,200.0
KMHL 021835Z AUTO 11008KT 2 1/2SM BR OVC006 00/00 A2994 RMK AO2,KMHL,2018-04-02T18:35:00Z,39.1,-93.2,0.0,0.0,110,8,,2.5,29.940945,,,TRUE,TRUE,,,,,,BR,OVC,600,,,,,,,IFR,,,,,,,,,,,,SPECI,237.0
KGPH 021835Z AUTO 14008G15KT 100V160 4SM BR OVC006 M01/M02 A2989 RMK AO2,KGPH,2018-04-02T18:35:00Z,39.33,-94.32,-1.0,-2.0,140,8,15,4.0,29.890747,,,TRUE,TRUE,,,,,,BR,OVC,600,,,,,,,IFR,,,,,,,,,,,,SPECI,235.0
KLQK 021835Z AUTO 21009KT 180V240 10SM CLR 26/08 A2994 RMK AO2 T02560078,KLQK,2018-04-02T18:35:00Z,34.82,-82.7,25.6,7.8,210,9,,10.0,29.940945,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,309.0
